KOD	NAZ_ZSJ	SHAPE_Area	Obyv_total	CELKEM_PS	PS_ZPS	TYPZONY	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	PS_ZPS_RATIO
129569	Strahov	727504.483781	79	115	110	3	54	61	0	0	54	56	0	0	1
129585	Nový Břevnov	298391.71379	5314	1148	1093	3	819	327	0	2	800	293	0	0	5
129593	Velký Břevnov	1009155.94143	5728	2194	2145	3	1542	648	0	4	1521	624	0	0	3
129399	Nový Veleslavín	429049.64857	1116	350	341	3	128	218	0	4	127	214	0	0	4
129402	U Nového Veleslavína	14248.2485113	107	22	22	1	22	0	0	0	22	0	0	0	5
130231	Holešovice-elektrárna	368661.090931	7	27	27	2	0	27	0	0	0	27	0	0	1
130257	Ortenovo náměstí	274419.636019	4572	1080	1047	6	730	320	28	2	700	319	28	0	5
130273	Na Maninách	196088.143033	5390	864	818	6	733	121	7	3	692	119	7	0	7
130281	Holešovický přístav	657786.785799	726	698	690	6	253	389	56	0	246	388	56	0	2
130290	Bubenské nábřeží	329759.6156	88	306	298	6	43	195	65	3	42	194	62	0	1
130303	Štvanice	384955.943057	4	43	41	2	0	43	0	0	0	41	0	0	1
129259	Kladenská	525106.709667	5134	1585	1534	3	1086	488	0	11	1060	474	0	0	4
129275	Hanspaulka	1590908.72923	7283	861	834	3	779	82	0	0	754	80	0	0	9
129283	Staré Dejvice	369151.709647	1776	801	777	3	537	260	0	4	529	248	0	0	3
130362	U Čimického háje	195958.228312	0	14	14	1	14	0	0	0	14	0	0	0	0
130311	Nad letenským tunelem	257030.125361	5475	1264	1171	6	1003	82	151	28	946	80	145	0	5
130320	Letenské sady	396342.917243	0	89	85	3	53	32	0	4	53	32	0	0	0
306363	Nové Ďáblice	312396.450504	3150	680	631	3	602	67	0	11	566	65	0	0	5
173428	Uhříněves	3240007.12322	7687	131	120	3	0	0	126	5	0	0	120	0	65
306371	Ďáblice-východ	258762.509839	4466	810	773	3	587	222	0	1	559	214	0	0	6
306380	Pod Ládvím	261419.291785	2529	781	743	3	644	127	0	10	635	108	0	0	4
315877	Budějovické náměstí-západ	87291.7438987	200	128	121	5	0	15	109	4	0	15	106	0	2
315885	Budějovické náměstí-východ	47564.0544189	19	33	30	5	0	24	9	0	0	24	6	0	1
315893	Kačerov-metro	460098.406329	0	31	29	2	0	31	0	0	0	29	0	0	0
305758	U Čelakovského sadů	5172.94250588	38	16	12	1	15	0	0	1	12	0	0	0	4
305774	Štěpánský obvod-východ	123725.741677	1634	414	333	3	153	223	0	38	127	206	0	0	5
305782	Hlavní nádraží-západ	11412.5035704	0	5	0	0	0	0	0	5	0	0	0	0	
305791	Folimanka-západ	94302.0207662	0	30	28	1	30	0	0	0	28	0	0	0	0
305821	U Děkanky	38209.9861996	0	10	10	1	10	0	0	0	10	0	0	0	0
305855	Podolí-pod Vyšehradem	48286.3238441	41	4	4	1	4	0	0	0	4	0	0	0	11
305863	Nové Butovice-západ	293874.965807	4428	23	21	3	0	0	23	0	0	0	21	0	211
305871	Dětský ostrov	150400.760983	0	137	135	3	11	126	0	0	11	124	0	0	0
305880	Na bělidle-nábřeží	97374.9088119	0	6	6	1	6	0	0	0	6	0	0	0	0
305804	Nad Nuselským údolím	27186.5418155	0	16	16	2	0	16	0	0	0	16	0	0	0
316440	Nové Butovice-východ	357346.725033	4210	38	35	3	0	0	38	0	0	0	35	0	121
306282	Pod nemocnicí	121186.46717	2043	487	468	3	383	102	0	2	378	90	0	0	5
305928	Hradčanská-východ	43799.4399138	816	151	132	3	63	88	0	0	52	80	0	0	7
305936	Hradčanská-západ	11808.969267	0	31	27	3	8	20	0	3	8	19	0	0	0
305961	Letná	286626.57593	167	112	17	7	0	19	0	93	0	17	0	0	10
305987	U Dolních Kobylis	83362.3671189	1	3	3	1	3	0	0	0	3	0	0	0	1
130265	Dělnická	266147.711287	5274	1195	1143	6	864	302	29	0	822	298	23	0	5
306291	Na Větrníku	113600.719821	608	216	204	3	131	85	0	0	127	77	0	0	3
128660	Jinonická	1185182.24141	3632	69	67	1	69	0	0	0	67	0	0	0	55
128911	Na hliníku	906517.036521	23	67	67	1	67	0	0	0	67	0	0	0	1
130508	Pod kobyliskou vozovnou	460737.880239	5164	1110	1047	3	879	210	0	21	842	205	0	0	5
315761	U nákladového nádraží	185577.945105	98	42	40	3	13	29	0	0	11	29	0	0	3
127396	Komenského náměstí	197063.064461	4498	724	668	3	523	190	0	11	487	181	0	0	7
129267	Červený vrch	464628.157149	3264	581	554	3	411	165	0	5	393	161	0	0	6
130109	Starý Bubeneč	515037.088902	535	902	700	3	266	545	0	91	238	462	0	0	1
324868	Radotín-Pod Velkým hájem	628399.813564	2067	20	18	3	0	0	20	0	0	0	18	0	115
130249	Staré Holešovice	211999.335861	607	286	197	11	41	124	40	81	39	120	38	0	4
130851	Střížkov-sever	624187.608226	2649	586	575	3	482	104	0	0	474	101	0	0	5
318205	V Čelakovského sadech	3212.95361077	0	2	2	1	2	0	0	0	2	0	0	0	0
316989	Švábky-západ	122419.452708	0	20	18	1	20	0	0	0	18	0	0	0	0
316997	Švábky-východ	152398.369598	159	94	92	6	7	67	20	0	7	65	20	0	2
