Season	SecCode	Kc_PS	Kc_sum	Min_sum	Min_med	Min_avg	Kc_med	Kc_avg	Tr_cnt	PS_ZPS	TYPZONY	KOD_ZSJ
P00-202001	P8-0881	99	894	2061	60	103	40	45	20	9	1	130699
P00-202001	P8-0352	81	3084	15256	68	363	60	73	42	38	1	130915
P00-202001	P8-1519	29	560	1300	60	118	40	51	11	19	1	130516
P00-202001	P8-0333	50	348	1068	90	214	75	70	5	7	1	316997
P00-202001	P8-2136	37	440	660	180	132	120	88	5	12	1	306380
P00-202001	P8-0872	245	489	5061	90	266	20	26	19	2	2	130699
P00-202001	P8-0972	11	170	298	74	75	40	43	4	15	1	130656
P00-202001	P8-1158	19	480	720	60	55	40	37	13	25	1	130478
P00-202001	P8-0935	10	240	2750	45	344	20	30	8	24	1	130656
P00-202001	P8-1410	46	230	345	90	86	60	58	4	5	1	130656
P00-202001	P8-0303	41	330	990	60	76	20	25	13	8	2	130958
P00-202001	P8-0223	41	450	450	60	50	60	50	9	11	1	130958
P00-202001	P8-2101	45	270	405	60	58	40	39	7	6	1	130648
P00-202001	P8-1132	9	140	210	60	70	40	47	3	15	1	130478
P00-202001	P8-0239	20	180	180	30	30	30	30	6	9	1	130958
P00-202001	P8-0916	20	160	240	60	60	40	40	4	8	1	130656
P00-202001	P8-2102	23	180	270	90	90	60	60	3	8	1	130648
P00-202001	P8-1326		50	75	38	38	25	25	2			
P00-202001	P8-0920	10	110	165	83	83	55	55	2	11	1	130672
P00-202001	P8-1513	10	310	930	75	116	25	39	8	30	2	130516
P00-202001	P8-1516	15	306	1901	68	238	42	38	8	21	1	130516
P00-202001	P8-0837	85	170	255	45	43	30	28	6	2	1	130699
