CODE	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
21785996	6	1	0	0	0	0	0	0	7
21911622	9	1	0	0	0	0	0	1	11
21742294	4	0	0	0	0	0	0	2	6
22754946	9	0	0	0	0	0	0	5	14
22041958	5	0	0	0	0	0	0	1	6
21765961	6	0	0	0	0	0	0	1	7
21796289	3	0	1	1	0	0	0	6	11
22310118	37	0	0	0	0	0	0	7	44
21969311	4	0	0	0	0	0	0	3	7
21740810	5	0	0	0	0	0	0	2	7
21785759	7	0	0	0	0	0	0	5	12
21741565	9	0	0	0	0	0	0	4	13
22368159	9	0	0	0	0	0	0	4	13
21858501	0	0	1	2	0	0	0	0	3
40773671	10	0	0	0	0	0	0	1	11
21742197	3	0	1	0	0	0	0	3	7
21962642	11	0	2	0	0	0	0	0	13
21773521	3	0	0	0	0	0	0	2	5
22768734	22	0	0	0	0	0	0	7	29
22294708	6	1	1	0	0	0	0	0	8
22161554	3	0	0	0	0	0	0	1	4
21954364	0	0	3	0	0	0	0	0	3
21949191	9	0	0	0	0	0	0	1	10
22361481	2	0	0	0	0	0	0	0	2
22305271	5	0	0	1	0	0	0	1	7
22281941	9	0	0	0	0	0	0	2	11
25980441	12	0	0	0	0	0	0	3	15
22310053	30	0	0	0	0	0	0	16	46
21754357	8	0	1	0	0	0	0	1	10
21862770	11	0	1	0	0	0	0	2	14
21969566	12	0	1	0	0	1	0	2	16
21785945	10	0	0	0	0	0	0	1	11
21702390	0	0	2	0	0	0	0	0	2
21796653	0	0	8	0	0	0	0	0	8
21733384	6	0	0	0	0	0	0	2	8
21693552	3	0	1	0	0	0	0	5	9
21951888	1	0	0	0	0	0	0	0	1
22147764	14	0	0	0	0	0	0	5	19
21728747	15	0	0	0	0	0	0	2	17
22289291	9	0	0	0	0	0	0	5	14
22383191	6	0	0	0	0	0	0	2	8
22164120	6	0	0	0	0	0	0	1	7
22290371	7	0	0	0	0	0	0	1	8
22295615	5	0	0	0	0	0	0	5	10
21953350	6	0	0	0	0	0	0	3	9
27544486	10	0	0	0	0	0	0	0	10
22370722	13	0	0	0	0	0	0	7	20
75456133	3	0	3	0	0	0	0	0	6
21949441	11	0	3	0	0	2	0	0	16
21788111	14	0	0	0	0	0	0	3	17
21944032	6	1	2	0	0	0	0	0	9
22169911	6	0	0	0	0	0	0	1	7
22373322	17	0	0	0	0	0	0	7	24
22170103	5	0	0	0	0	0	0	1	6
22368230	33	0	1	0	0	0	0	7	41
27492851	0	0	3	3	0	0	0	0	6
22307974	5	0	1	0	0	0	0	2	8
22306803	2	0	0	0	0	0	0	1	3
21757313	6	0	2	0	0	0	0	3	11
22352970	4	0	0	0	0	0	0	0	4
22017968	4	0	0	0	0	0	0	0	4
22087214	3	0	0	0	0	0	0	1	4
21959889	1	0	0	0	0	0	0	1	2
21729077	9	0	0	0	0	0	0	4	13
21787956	12	0	0	0	0	0	0	2	14
21779848	9	0	2	0	0	0	0	0	11
21949034	2	0	0	0	0	0	0	1	3
22265716	8	0	0	0	0	0	0	3	11
21909423	7	0	0	0	0	0	0	2	9
22203664	8	0	0	0	0	0	0	5	13
22363866	9	0	0	0	0	0	0	0	9
21952132	4	0	0	0	0	0	0	0	4
22079912	10	0	1	0	0	0	0	0	11
22541942	7	0	1	0	0	0	0	1	9
21795738	7	0	0	0	0	0	0	1	8
21723494	4	0	0	16	0	0	0	1	21
21960704	4	0	0	0	0	0	0	1	5
21694184	0	0	0	4	0	0	0	0	4
21812781	10	0	1	0	0	0	0	5	16
21875251	1	0	0	0	0	0	0	0	1
22498206	5	0	0	0	0	0	0	0	5
22284435	7	0	0	0	0	0	0	2	9
22703128	8	0	2	0	0	0	0	1	11
22219293	0	0	0	0	0	0	0	1	1
21756392	6	0	1	0	0	0	0	2	9
21761736	8	0	0	0	0	0	0	0	8
22370382	8	0	1	0	0	0	0	4	13
22355138	12	0	0	0	0	0	0	4	16
22000437	4	0	0	0	0	0	0	0	4
21762767	5	0	0	0	0	0	0	4	9
21775249	10	0	0	0	0	0	0	6	16
22171207	3	0	0	0	0	0	0	0	3
22077634	4	0	0	0	0	0	0	0	4
22349171	8	0	1	0	0	0	0	0	9
21726914	0	0	6	1	0	0	0	1	8
22107924	1	0	0	0	0	0	0	0	1
22176802	5	0	1	0	0	0	0	0	6
22299335	17	0	0	0	0	0	0	4	21
21872821	11	0	0	0	0	0	0	0	11
21728330	17	0	0	0	0	0	0	8	25
22706801	10	0	0	0	0	0	0	1	11
22350403	6	0	0	0	0	0	0	0	6
22279962	0	0	0	0	0	0	0	1	1
21765260	8	0	0	0	0	0	0	4	12
22291253	6	0	0	0	0	0	0	5	11
40802426	8	0	0	0	0	0	0	0	8
22392483	6	0	0	0	0	0	0	0	6
22499385	10	0	0	0	0	0	0	0	10
22383701	2	0	0	0	0	0	0	0	2
21777586	13	0	0	0	0	0	0	4	17
22041842	11	0	0	0	0	0	0	1	12
22083529	5	0	2	0	0	0	0	1	8
22164430	4	0	0	0	0	0	0	0	4
22368361	28	0	0	0	0	0	0	4	32
22092285	1	0	0	0	0	0	0	0	1
22726292	13	0	3	0	0	0	0	1	17
22370617	16	0	2	0	0	0	0	7	25
21763071	9	0	0	0	0	0	0	5	14
22353810	9	0	0	0	0	0	0	0	9
22209522	6	0	0	0	0	0	0	0	6
22283188	4	0	0	0	0	0	0	2	6
22169415	9	0	0	0	0	0	0	1	10
22097023	6	0	2	3	0	1	0	1	13
21779562	9	0	0	0	0	0	0	0	9
21946787	5	0	0	0	0	0	0	1	6
79256694	2	0	0	0	0	0	0	0	2
21793972	9	0	1	0	0	0	0	2	12
22165371	5	0	0	0	0	0	0	1	6
22354182	4	0	1	0	0	0	0	0	5
21707995	2	0	3	0	0	0	0	1	6
22178481	13	0	1	0	0	1	0	3	18
73027588	4	0	0	0	0	0	0	0	4
22498541	11	0	1	0	0	0	0	4	16
21869430	13	0	1	0	0	0	0	4	18
21787701	8	0	0	0	0	0	0	1	9
22369813	25	0	0	0	0	0	0	7	32
21774285	9	0	1	0	0	0	0	0	10
22311831	10	0	0	0	0	1	0	0	11
21769494	3	0	0	0	0	0	0	0	3
22080538	5	0	0	0	0	0	1	2	8
22179071	16	0	0	0	0	0	0	5	21
21912599	9	0	0	0	0	0	0	2	11
22214437	1	0	0	0	0	0	0	1	2
21740933	5	1	0	0	0	0	0	0	6
26269457	7	0	0	0	0	0	0	0	7
22305963	6	0	2	0	0	0	0	2	10
21712891	0	0	5	3	0	2	0	0	10
22159878	5	0	0	0	0	0	0	0	5
21713600	2	0	1	0	0	0	0	2	5
21761213	2	0	0	0	0	1	0	2	5
22297316	11	0	0	0	0	0	0	2	13
21761434	9	0	0	0	0	0	0	2	11
21951578	6	0	0	0	0	0	0	0	6
21706336	5	0	0	0	0	1	0	1	7
22242562	41	2	0	0	0	0	0	15	58
21786976	8	0	0	0	0	0	0	1	9
21781401	12	0	0	0	0	0	0	3	15
21712123	5	0	2	0	0	1	0	0	8
21950229	10	0	0	0	0	0	0	0	10
21728631	4	0	0	0	0	0	0	5	9
25807439	7	0	0	0	0	0	0	2	9
22499857	4	0	0	0	0	0	0	0	4
21723630	9	2	0	0	0	0	0	5	16
22498389	0	0	2	0	0	0	0	4	6
21771413	1	0	0	0	0	0	0	0	1
22182098	9	0	1	0	0	0	0	0	10
22103945	7	0	1	0	0	0	0	0	8
21728500	4	0	0	0	0	2	0	1	7
21693111	1	0	16	4	0	0	0	1	22
22768793	0	0	2	0	0	0	0	0	2
21767408	3	0	0	0	0	0	0	0	3
22304282	16	1	0	0	0	0	0	8	25
21728003	6	1	0	0	0	0	0	0	7
27808416	8	0	0	0	0	0	0	0	8
21961620	7	0	0	0	0	0	0	3	10
22499954	13	0	0	0	0	0	0	1	14
21749264	15	0	1	0	0	0	0	1	17
22354751	6	0	0	0	0	0	0	0	6
22084487	2	0	0	0	0	0	0	0	2
22308946	14	0	0	0	0	0	0	9	23
21914222	13	0	1	0	0	0	0	4	18
21725501	2	0	0	0	0	0	0	0	2
21749311	6	0	0	0	0	0	0	0	6
22771841	8	0	0	0	0	1	0	3	12
22499300	2	0	0	0	0	0	0	2	4
22039279	13	0	1	1	0	0	0	1	16
21715726	8	0	0	0	0	0	0	3	11
21725292	0	0	1	0	0	0	0	0	1
21697981	6	0	0	0	0	0	0	2	8
21947287	3	0	0	0	0	0	0	2	5
26697688	3	0	0	0	0	0	0	0	3
22544259	4	0	0	0	0	0	0	3	7
21796971	6	0	0	0	0	0	0	3	9
22203907	8	0	0	0	0	0	0	0	8
21764867	6	0	0	0	0	0	0	0	6
22364455	5	0	0	0	0	0	0	1	6
21775303	3	0	1	0	0	0	0	1	5
41405609	0	0	5	0	0	1	0	0	6
22264825	2	0	0	0	0	0	0	0	2
21914206	13	0	0	0	0	0	0	3	16
22374892	12	0	0	0	0	0	0	0	12
21766321	6	0	0	0	0	0	0	5	11
22498583	16	0	1	0	0	0	0	2	19
21950261	7	0	1	0	0	0	0	1	9
22182233	4	0	2	2	0	0	0	0	8
22168281	8	0	2	0	0	0	0	1	11
22306544	10	0	1	0	0	0	0	2	13
22373381	10	0	1	0	0	0	0	11	22
22151371	7	0	0	0	0	0	0	0	7
21947996	3	1	0	0	0	0	0	1	5
22302085	15	0	0	2	0	0	0	7	24
21914257	11	2	0	0	0	1	0	4	18
21807329	4	0	1	0	0	0	0	1	6
21913129	9	0	0	0	0	0	0	0	9
22706810	9	0	0	0	0	0	0	3	12
21699216	3	0	0	0	0	0	0	0	3
21785465	9	0	0	0	0	0	0	2	11
22388346	7	0	0	0	0	0	0	0	7
21765944	14	0	1	0	0	0	0	2	17
21707651	8	1	2	0	0	0	0	0	11
21752052	6	0	0	0	0	0	0	2	8
22209034	0	0	0	0	0	0	0	2	2
21873224	6	0	0	0	0	1	0	3	10
21714282	3	0	1	0	0	0	0	0	4
22086064	2	0	0	0	0	0	0	1	3
22311114	11	0	0	0	0	0	0	1	12
22368132	5	0	0	0	0	0	0	1	6
21910553	2	0	1	0	0	0	0	0	3
22242945	7	0	0	0	0	0	0	3	10
22368957	36	0	0	0	0	0	0	18	54
22178155	8	0	1	0	0	0	0	2	11
21750564	6	0	1	0	0	0	0	0	7
