Season	TARIFPA	CODE	KOD_ZSJ	STREETNAME	Price	Trans	dff	Mths	age	Tr_MONTH	Tr_DAY
P00-201912	39	3000057	127396	KONÃVOVA	49384	830	225878	3	23	277	10
P00-201912	39	3000056	127396	KONÃVOVA	51593	915	254147	3	23	305	11
P00-201912	39	3000055	127396	KONÃVOVA	31660	612	178426	3	23	204	7
P00-201912	39	3000054	127396	KONÃVOVA	55745	864	234196	3	23	288	10
P00-201912	39	3000053	127396	KONÃVOVA	20523	330	117277	3	23	110	4
P00-201912	39	3000052	127396	KONÃVOVA	4405	64	13667	3	23	22	1
P00-201912	39	3000051	127396	ROH¡»OVA	68944	1047	285530	3	23	349	12
P00-201912	39	3000050	127418	ROH¡»OVA	95788	1591	412425	3	23	531	18
P00-201912	39	3000049	127370	JESENIOVA	145703	2123	635382	3	23	708	24
P00-201912	39	3000048	127370	V KAPSLOVNÃ	113088	1741	424791	3	23	581	20
P00-201912	31	3000047	127418	NA PARUK¡ÿCE	23801	404	85435	3	23	135	5
P00-201912	31	3000046	127418	JESENIOVA	19395	319	80135	3	23	107	4
P00-201912	39	3000045	127418	KONÃVOVA	45174	651	178504	3	23	217	8
P00-201912	39	3000044	127418	KONÃVOVA	43496	872	192198	3	23	291	10
P00-201912	39	3000043	127418	KONÃVOVA	43655	889	190313	3	23	297	10
P00-201912	39	3000042	127418	KONÃVOVA	48334	918	201796	3	23	306	11
P00-201912	31	3000041	127400	KONÃVOVA	127637	2388	814297	3	23	796	27
P00-201912	18	3000040	127337	KONÃVOVA	37605	974	426098	3	23	325	11
P00-201912	18	3000039	127337	KONÃVOVA	47995	1083	365385	3	23	361	13
P00-201912	18	3000038	127337	VIKLEFOVA	39677	1033	417269	3	23	345	12
P00-201912	18	3000037	127426	KONÃVOVA	28471	746	256082	3	23	249	9
P00-201912	18	3000036	127426	NAD OHRADOU	14493	363	105579	3	23	121	5
P00-201912	9	3000035	127426	NAD OHRADOU	62179	1412	510414	3	23	471	16
P00-201912	9	3000034	127426	NA BALK¡NÃ	24923	717	199142	3	23	239	8
P00-201912	9	3000033	127426	ZA éIéKOVSKOU VOZOVNOU	36655	718	309462	3	23	240	8
P00-201912	9	3000032	127345	JESENIOVA	55892	1443	510867	3	23	481	17
P00-201912	9	3000031	127345	JESENIOVA	26353	604	206722	3	23	202	7
P00-201912	18	3000030	127345	KONÃVOVA	61678	989	475200	3	23	330	11
P00-201912	18	3000029	127426	KONÃVOVA	18024	446	151450	3	23	149	5
P00-201912	18	3000028	127345	KONÃVOVA	20835	488	180227	3	23	163	6
P00-201912	18	3000027	127426	KONÃVOVA	13709	359	110091	3	23	120	4
P00-201912	18	3000026	127345	KONÃVOVA	19976	589	166381	3	23	197	7
P00-201912	18	3000025	127426	KONÃVOVA	12609	348	81335	3	23	116	4
P00-201912	18	3000024	127345	STR¡éNÕ	36680	980	256688	3	23	327	11
P00-201912	9	3000023	127426	V DOMOVÃ	13539	345	143170	3	28	115	4
P00-201912	9	3000022	127426	NA BALK¡NÃ	20621	847	158447	3	28	283	10
P00-201912	9	3000021	127469	V ZELENI	12035	364	136765	3	40	122	5
P00-201912	9	3000020	127442	K LU»IN¡M	16549	410	197802	3	40	137	5
P00-201912	9	3000019	127442	NA BALK¡NÃ	6336	181	98920	3	40	61	3
P00-201912	9	3000018	127426	NA BALK¡NÃ	6197	169	79047	3	40	57	2
P00-201912	9	3000017	127345	KONÃVOVA	54302	1530	425002	3	40	510	17
P00-201912	18	3000016	127426	KONÃVOVA	61477	2350	366528	3	40	784	27
P00-201912	9	3000015	127353	V ZAHR¡DK¡CH	28908	765	269964	3	40	255	9
P00-201912	18	3000014	127353	KONÃVOVA	46638	1228	394364	3	40	410	14
P00-201912	9	3000013	127353	NA JAROVÃ	15957	464	180812	3	40	155	6
P00-201912	9	3000012	127442	KONÃVOVA	24842	1011	199796	3	40	337	12
P00-201912	9	3000011	127442	LU»NÕ	44291	1457	381516	3	40	486	17
P00-201912	9	3000010	127442	U KNÃéSK… LOUKY	11102	333	158353	3	40	111	4
P00-201912	9	3000009	127451	OSIKOV¡	47674	1567	453403	3	40	523	18
P00-201912	9	3000008	127451	POD LIPAMI	37414	965	520070	3	40	322	11
P00-201912	9	3000007	127451	HABROV¡	4452	194	55313	3	40	65	3
P00-201912	9	3000006	127469	NA JAROVÃ	14221	532	159682	3	40	178	6
P00-201912	9	3000005	127469	MEZI DOMKY	9310	239	125096	3	40	80	3
P00-201912	9	3000004	315761	NA VIKTORCE	3555	54	48861	3	40	18	1
P00-201912	9	3000003	127485	U N¡KLADOV…HO N¡DRAéÕ	27229	564	127814	3	40	188	7
P00-201912	9	3000002	127493	U N¡KLADOV…HO N¡DRAéÕ	37649	2325	721603	3	40	775	26
P00-201912	9	3000001	127493	U N¡KLADOV…HO N¡DRAéÕ	61351	2970	1193883	3	40	990	33
P00-201912	25	2000125	127221	äPANÃLSK¡	85095	1451	799838	3	27	484	17
P00-201912	25	2000124	127213	äPANÃLSK¡	62548	899	404539	3	27	300	10
P00-201912	25	2000123	127221	KUNÃTICK¡	33960	550	128027	3	27	184	7
P00-201912	25	2000122	127221	LICHNICK¡	13456	226	35758	3	27	76	3
P00-201912	25	2000121	127221	HEL…NSK¡	150249	3799	606703	3	27	1267	43
P00-201912	25	2000120	127230	ITALSK¡	58631	959	264598	3	27	320	11
P00-201912	25	2000119	127230	ITALSK¡	116842	2326	720608	3	27	776	26
P00-201912	37	2000118	127221	ITALSK¡	125342	1904	690578	3	27	635	22
P00-201912	30	2000117	127230	POLSK¡	245615	3881	1237965	3	27	1294	44
P00-201912	30	2000116	127230	POLSK¡	155025	2691	812354	3	27	897	30
P00-201912	30	2000115	127230	POLSK¡	119336	1904	638701	3	27	635	22
P00-201912	37	2000114	127248	SLAVÕKOVA	82487	1236	481353	3	27	412	14
P00-201912	37	2000113	127248	SLAVÕKOVA	69685	1152	381789	3	27	384	13
P00-201912	37	2000112	127248	N¡M. JIÿÕHO Z PODÃBRAD	13993	294	88369	3	27	98	4
P00-201912	25	2000111	127256	VINOHRADSK¡	127327	2129	858162	3	27	710	24
P00-201912	25	2000110	127256	VINOHRADSK¡	135018	2477	957646	3	27	826	28
P00-201912	37	2000109	127167	VINOHRADSK¡	95772	1672	791768	3	27	558	19
P00-201912	37	2000108	127221	ANNY LETENSK…	38036	580	297646	3	27	194	7
P00-201912	37	2000107	127205	VINOHRADSK¡	3858	65	29143	3	27	22	1
P00-201912	37	2000106	127205	VINOHRADSK¡	69070	1193	614655	3	27	398	14
P00-201912	37	2000105	127205	äKR…TOVA	64748	1703	1474781	3	27	568	19
P00-201912	37	2000104	127205	ANGLICK¡	41043	628	382790	3	27	210	7
P00-201912	25	2000103	127256	VINOHRADSK¡	102526	2068	617285	3	27	690	23
P00-201912	37	2000102	127167	N¡M. MÕRU	234643	4203	1701465	3	27	1401	47
P00-201912	37	2000101	127167	IBSENOVA	144211	2503	940856	3	27	835	28
P00-201912	37	2000100	127167	äUBERTOVA	108736	1842	800232	3	27	614	21
P00-201912	37	2000099	127167	SLEZSK¡	255281	4352	1661675	3	27	1451	49
P00-201912	37	2000098	127256	U TRéNICE	143802	2618	815163	3	27	873	30
P00-201912	25	2000097	127256	SLEZSK¡	160520	2851	1080104	3	27	951	32
P00-201912	25	2000096	127256	SADY SVATOPLUKA »ECHA	175808	3216	1240278	3	27	1072	36
P00-201912	38	2000095	127256	KORUNNÕ	28912	489	98789	3	27	163	6
P00-201912	38	2000094	127256	KORUNNÕ	50930	842	157200	3	27	281	10
P00-201912	38	2000093	127256	KORUNNÕ	38822	599	129888	3	27	200	7
P00-201912	38	2000092	127167	KORUNNÕ	62259	1078	251081	3	27	360	12
P00-201912	37	2000091	127167	KORUNNÕ	83341	1427	595076	3	27	476	16
P00-201912	37	2000090	127167	KORUNNÕ	161913	2724	1072958	3	27	908	31
P00-201912	38	2000089	127167	MORAVSK¡	47890	713	145062	3	27	238	8
P00-201912	38	2000088	127256	MORAVSK¡	42974	724	126931	3	27	242	9
P00-201912	30	2000087	127256	DYKOVA	136022	2420	434753	3	27	807	27
P00-201912	38	2000086	127256	äUMAVSK¡	87275	1316	307508	3	27	439	15
P00-201912	38	2000085	127167	BUDE»SK¡	106173	1678	332785	3	27	560	19
P00-201912	30	2000084	127256	äUMAVSK¡	43221	763	152224	3	27	255	9
P00-201912	30	2000083	127256	SLOVENSK¡	43425	619	105993	3	27	207	7
P00-201912	30	2000082	127272	NA KOZA»CE	170446	2679	557196	3	27	893	30
P00-201912	38	2000081	127175	AMERICK¡	146192	2160	525897	3	27	720	24
P00-201912	37	2000080	127175	Z¡HÿEBSK¡	49762	750	164364	3	27	250	9
P00-201912	37	2000079	127205	JUGOSL¡VSK¡	78966	1394	623266	3	27	465	16
P00-201912	37	2000078	127175	JUGOSL¡VSK¡	32151	611	257865	3	27	204	7
P00-201912	37	2000077	127175	BRUSELSK¡	101335	1615	693494	3	27	539	18
P00-201912	37	2000076	127175	äAFAÿÕKOVA	114255	1913	678812	3	27	638	22
P00-201912	37	2000075	127272	PERUCK¡	12892	197	52651	3	27	66	3
P00-201912	37	2000074	127272	POD NUSELSK›MI SCHODY	84690	1359	517554	3	27	453	16
P00-201912	37	2000073	127272	BÃLEHRADSK¡	18608	338	131581	3	27	113	4
P00-201912	37	2000072	127175	BÃLEHRADSK¡	42737	858	260846	3	27	286	10
P00-201912	37	2000071	127175	BÃLEHRADSK¡	35349	699	250230	3	27	233	8
P00-201912	37	2000070	127175	BÃLEHRADSK¡	107299	1951	739003	3	27	651	22
P00-201912	37	2000069	127175	TYLOVO N¡M.	100972	1540	664022	3	27	514	18
P00-201912	37	2000068	305774	TYRäOVA	119014	1313	729628	3	27	438	15
P00-201912	25	2000067	305774	WENZIGOVA	109899	1809	740113	3	27	603	21
P00-201912	25	2000066	127272	LEGEROVA	32966	525	262444	3	27	175	6
P00-201912	25	2000065	305774	LEGEROVA	111956	1901	886667	3	27	634	22
P00-201912	37	2000064	305774	N¡M. I. P. PAVLOVA	72876	1251	489875	3	27	417	14
P00-201912	37	2000063	305774	N¡M. I. P. PAVLOVA	86447	1294	576813	3	27	432	15
P00-201912	37	2000062	127191	éITN¡	25956	407	193035	3	27	136	5
P00-201912	37	2000061	127191	éITN¡	39535	624	351267	3	27	208	7
P00-201912	37	2000060	127191	äTÃP¡NSK¡	61929	992	405426	3	27	331	12
P00-201912	37	2000059	127183	LAZARSK¡	63154	874	434034	3	27	292	10
P00-201912	37	2000058	127183	KARLOVO N¡M.	165259	2576	1183911	3	27	859	29
P00-201912	37	2000057	127191	KARLOVO N¡M.	301432	5038	1876993	3	27	1680	56
P00-201912	37	2000056	127183	KARLOVO N¡M.	657616	10819	3884902	3	27	3607	121
P00-201912	37	2000055	127183	KARLOVO N¡M.	1033926	16016	6130300	3	27	5339	178
P00-201912	37	2000054	127183	KARLOVO N¡M.	650131	10126	4072854	3	27	3376	113
P00-201912	48	2000053	127183	KARLOVO N¡M.	408759	6409	1335133	3	27	2137	72
P00-201912	48	2000052	127183	KARLOVO N¡M.	479382	8056	1544131	3	27	2686	90
P00-201912	48	2000051	127183	U NEMOCNICE	518856	8643	1473732	3	27	2881	97
P00-201912	48	2000050	127183	U NEMOCNICE	176262	2609	525038	3	27	870	29
P00-201912	37	2000049	127191	LÕPOV¡	95931	1414	358653	3	27	472	16
P00-201912	37	2000048	127191	KATEÿINSK¡	119135	1995	387283	3	27	665	23
P00-201912	37	2000047	127191	KATEÿINSK¡	158167	2350	1041437	3	27	784	27
P00-201912	25	2000046	127183	BEN¡TSK¡	84353	1448	328543	3	27	483	17
P00-201912	25	2000045	127183	VINI»N¡	151053	2618	784798	3	27	873	30
P00-201912	25	2000044	127183	VINI»N¡	147033	2645	711146	3	27	882	30
P00-201912	25	2000043	127183	APOLIN¡ÿSK¡	59031	1284	204677	3	27	428	15
P00-201912	25	2000042	127183	APOLIN¡ÿSK¡	304293	6249	1506285	3	27	2083	70
P00-201912	25	2000041	127183	KE KARLOVU	230531	4468	1344636	3	27	1490	50
